None,Cp,time
  1.9959E-12, 3.28550E+09,0
  1.9959E-12, 3.28550E+09,10
  1.9959E-12, 3.21408E+09,20
  1.9960E-12, 3.08201E+09,30
  1.9960E-12, 3.08201E+09,40
  1.9962E-12, 2.94920E+09,50
  1.9962E-12, 2.94920E+09,60
  1.9958E-12, 3.01837E+09,70
  1.9953E-12, 2.94083E+09,80
  1.9953E-12, 2.94083E+09,90
  1.9953E-12, 2.88451E+09,100
  1.9953E-12, 2.88451E+09,110
  1.9946E-12, 3.20777E+09,120
  1.9946E-12, 3.20777E+09,130
  1.9943E-12, 3.38463E+09,140
  1.9943E-12, 3.38463E+09,150
  1.9939E-12, 3.45572E+09,160
  1.9939E-12, 3.38966E+09,170
  1.9939E-12, 3.38966E+09,180
  1.9940E-12, 3.28807E+09,190
  1.9940E-12, 3.28807E+09,200
  1.9940E-12, 3.13955E+09,210
  1.9938E-12, 3.14693E+09,220
  1.9938E-12, 3.14693E+09,230
  1.9941E-12, 3.12635E+09,240
  1.9941E-12, 3.12635E+09,250
  1.9946E-12, 3.15419E+09,260
  1.9946E-12, 3.15419E+09,270
  1.9951E-12, 3.30588E+09,280
  1.9958E-12, 3.23037E+09,290
  1.9958E-12, 3.23037E+09,300
  1.9966E-12, 3.32650E+09,310
  1.9966E-12, 3.32650E+09,320
  1.9967E-12, 3.26268E+09,330
  1.9967E-12, 3.26268E+09,340
  1.9973E-12, 3.40935E+09,350
  1.9973E-12, 2.90935E+09,360
  1.9973E-12, 2.90935E+09,370
  1.9967E-12, 2.60624E+09,380
  1.9967E-12, 2.60624E+09,390
  1.9964E-12, 2.49043E+09,400
  1.9964E-12, 2.49043E+09,410
  1.9959E-12, 2.55317E+09,420
  1.9959E-12, 2.55317E+09,430
  1.9960E-12, 2.85196E+09,440
  1.9955E-12, 2.94691E+09,450
  1.9955E-12, 2.94691E+09,460
  1.9949E-12, 3.26364E+09,470
  1.9949E-12, 3.26364E+09,480
  1.9946E-12, 3.10635E+09,490
  1.9955E-12, 3.11083E+09,500
  1.9955E-12, 3.11083E+09,510
  1.9955E-12, 2.80556E+09,520
  1.9955E-12, 2.80556E+09,530
  1.9958E-12, 3.17008E+09,540
  1.9958E-12, 3.17008E+09,550
  1.9965E-12, 3.54420E+09,560
  1.9976E-12, 3.73807E+09,570
  1.9976E-12, 3.73807E+09,580
  1.9985E-12, 3.55705E+09,590
  1.9985E-12, 3.55705E+09,600
  1.9990E-12, 3.15974E+09,610
  1.9990E-12, 3.15974E+09,620
  1.9993E-12, 3.36566E+09,630
  2.0002E-12, 3.28616E+09,640
  2.0002E-12, 3.28616E+09,650
  2.0004E-12, 3.12247E+09,660
  2.0004E-12, 3.12247E+09,670
  2.0006E-12, 3.34399E+09,680
  2.0010E-12, 3.46835E+09,690
  2.0010E-12, 3.46835E+09,700
  2.0011E-12, 3.21915E+09,710
  2.0011E-12, 3.21915E+09,720
  2.0008E-12, 3.16983E+09,730
  2.0003E-12, 3.09092E+09,740
  2.0003E-12, 3.09092E+09,750
  1.9998E-12, 3.12762E+09,760
  1.9998E-12, 3.12762E+09,770
  1.9995E-12, 3.28634E+09,780
  1.9995E-12, 3.28634E+09,790
  1.9995E-12, 2.93156E+09,800
  1.9995E-12, 2.93156E+09,810
  1.9996E-12, 3.07072E+09,820
  2.0001E-12, 3.34047E+09,830
  2.0001E-12, 3.34047E+09,840
  1.9995E-12, 2.92889E+09,850
  1.9995E-12, 2.92889E+09,860
  1.9994E-12, 2.93627E+09,870
  1.9994E-12, 2.93627E+09,880
  1.9993E-12, 2.99113E+09,890
  1.9999E-12, 3.20185E+09,900
  1.9999E-12, 3.20185E+09,910
  2.0000E-12, 3.49129E+09,920
  2.0007E-12, 3.51874E+09,930
  2.0007E-12, 3.51874E+09,940
  2.0007E-12, 3.49668E+09,950
  2.0007E-12, 3.49668E+09,960
  2.0006E-12, 3.92857E+09,970
  2.0006E-12, 3.92857E+09,980
  2.0003E-12, 4.05404E+09,990
  2.0004E-12, 3.77981E+09,1000
  2.0004E-12, 3.77981E+09,1010
  2.0012E-12, 4.21523E+09,1020
  2.0012E-12, 4.21523E+09,1030
  2.0014E-12, 4.40911E+09,1040
  2.0014E-12, 4.40911E+09,1050
  2.0018E-12, 4.71608E+09,1060
  2.0018E-12, 4.71608E+09,1070
  2.0017E-12, 4.12035E+09,1080
  2.0023E-12, 3.98038E+09,1090
  2.0023E-12, 3.98038E+09,1100
  2.0025E-12, 4.26828E+09,1110
  2.0025E-12, 4.26828E+09,1120
  2.0037E-12, 4.96069E+09,1130
  2.0052E-12, 5.08057E+09,1140
  2.0052E-12, 5.08057E+09,1150
  2.0070E-12, 4.23556E+09,1160
  2.0070E-12, 4.23556E+09,1170
  2.0078E-12, 4.38536E+09,1180
  2.0078E-12, 4.38536E+09,1190
  2.0086E-12, 4.17863E+09,1200
  2.0096E-12, 4.10540E+09,1210
  2.0096E-12, 4.10540E+09,1220
