None,Cp,time
 12.5965E-12, 28.9474E+06 12.5965E-12,,0
 28.9474E+06 12.5965E-12, 28.9474E+06,10

 12.5965E-12, 28.9474E+06 12.5965E-12,20
, 28.9474E+06 12.5965E-12, 28.9474E+06,30
 12.5965E-12, 28.9474E+06 12.5590E-1,40
2, 28.9737E+06 12.5590E-12, 28.9737E+0,50
6 12.5590E-12, 28.9737E+06 12.5590E-,60
12, 28.9737E+06 12.5590E-12, 28.9737E+,70
06 12.5590E-12, 28.9737E+06 12.5590E,80
-12, 28.9737E+06 12.5590E-12, 28.9737E,90
+06 12.5590E-12, 28.9737E+06 12.5590,100
E-12, 28.9737E+06 12.5590E-12, 28.9737,110
E+06 12.5195E-12, 29.0330E+06 12.519,120
5E-12, 29.0330E+06 12.5195E-12, 29.033,130
0E+06 12.5195E-12, 29.0330E+06 12.51,140
95E-12, 29.0330E+06 12.5195E-12, 29.03,150
30E+06 12.5195E-12, 29.0330E+06 12.5,160
195E-12, 29.0330E+06 12.5195E-12, 29.0,170
330E+06 12.5195E-12, 29.0330E+06 12.,180
4940E-12, 29.0696E+06 12.4940E-12, 29.,190
0696E+06 12.4940E-12, 29.0696E+06 12,200
.4940E-12, 29.0696E+06 12.4940E-12, 29,210
.0696E+06 12.4940E-12, 29.0696E+06 1,220
2.4940E-12, 29.0696E+06 12.4940E-12, 2,230
9.0696E+06 12.4940E-12, 29.0696E+06 ,240
12.4940E-12, 29.0696E+06 12.4819E-12, ,250
29.0851E+06 12.4819E-12, 29.0851E+06,260
 12.4819E-12, 29.0851E+06 12.4819E-12,,270
 29.0851E+06 12.4819E-12, 29.0851E+06,280

 12.4819E-12, 29.0851E+06 12.4819E-12,290
, 29.0851E+06 12.4819E-12, 29.0851E+06,300
 12.4819E-12, 29.0851E+06 12.4819E-1,310
2, 29.0851E+06 12.4767E-12, 29.1003E+0,320
6 12.4767E-12, 29.1003E+06 12.4767E-,330
12, 29.1003E+06 12.4767E-12, 29.1003E+,340
06 12.4767E-12, 29.1003E+06 12.4767E,350
-12, 29.1003E+06 12.4767E-12, 29.1003E,360
+06 12.4730E-12, 29.1163E+06 12.4730,370
E-12, 29.1163E+06 12.4703E-12, 29.1494,380
E+06 12.4694E-12, 29.1904E+06 12.469,390
4E-12, 29.1904E+06 12.4692E-12, 29.214,400
1E+06 12.4692E-12, 29.2141E+06 12.46,410
89E-12, 29.2607E+06 12.4689E-12, 29.26,420
07E+06 12.4699E-12, 29.2813E+06 12.4,430
699E-12, 29.2813E+06 12.4712E-12, 29.2,440
790E+06 12.4708E-12, 29.2887E+06 12.,450
4708E-12, 29.2887E+06 12.4705E-12, 29.,460
3116E+06 12.4705E-12, 29.3379E+06 12,470
.4705E-12, 29.3379E+06 12.4705E-12, 29,480
.3379E+06 12.4698E-12, 29.3753E+06 1,490
2.4698E-12, 29.3901E+06 12.4698E-12, 2,500
9.3901E+06 12.4700E-12, 29.4013E+06 ,510
12.4697E-12, 29.3876E+06 12.4697E-12, ,520
29.3876E+06 12.4697E-12, 29.3876E+06,530
 12.4700E-12, 29.3696E+06 12.4700E-12,,540
 29.3881E+06 12.4700E-12, 29.3881E+06,550

 12.4701E-12, 29.3869E+06 12.4701E-12,560
, 29.3869E+06 12.4709E-12, 29.3871E+06,570
 12.4709E-12, 29.3871E+06 12.4715E-1,580
2, 29.3738E+06 12.4717E-12, 29.3559E+0,590
6 12.4717E-12, 29.3559E+06 12.4721E-,600
12, 29.3271E+06 12.4721E-12, 29.3271E+,610
06 12.4717E-12, 29.3018E+06 12.4713E,620
-12, 29.2899E+06 12.4713E-12, 29.2899E,630
+06 12.4710E-12, 29.2866E+06 12.4710,640
E-12, 29.2866E+06 12.4708E-12, 29.2808,650
E+06 12.4708E-12, 29.2808E+06 12.470,660
3E-12, 29.2543E+06 12.4699E-12, 29.245,670
8E+06 12.4699E-12, 29.2458E+06 12.46,680
99E-12, 29.2357E+06 12.4699E-12, 29.23,690
57E+06 12.4699E-12, 29.2228E+06 12.4,700
693E-12, 29.2293E+06 12.4693E-12, 29.2,710
293E+06 12.4694E-12, 29.2223E+06 12.,720
4694E-12, 29.2223E+06 12.4703E-12, 29.,730
2257E+06 12.4703E-12, 29.2257E+06 12,740
.4711E-12, 29.2123E+06 12.4714E-12, 29,750
.2043E+06 12.4714E-12, 29.2043E+06 1,760
2.4715E-12, 29.1813E+06 12.4715E-12, 2,770
9.1813E+06 12.4721E-12, 29.1838E+06 ,780
12.4724E-12, 29.1936E+06 12.4724E-12, ,790
29.1936E+06 12.4720E-12, 29.1939E+06,800
 12.4720E-12, 29.1939E+06 12.4714E-12,,810
 29.1971E+06 12.4714E-12, 29.1971E+06,820

 12.4716E-12, 29.2008E+06 12.4716E-12,830
, 29.2008E+06 12.4708E-12, 29.1945E+06,840
 12.4696E-12, 29.1942E+06 12.4696E-1,850
2, 29.1942E+06 12.4683E-12, 29.1972E+0,860
6 12.4683E-12, 29.1972E+06 12.4677E-,870
12, 29.2112E+06 12.4677E-12, 29.2112E+,880
06 12.4670E-12, 29.2355E+06 12.4661E,890
-12, 29.2174E+06 12.4661E-12, 29.2174E,900
+06 12.4649E-12, 29.2203E+06 12.4649,910
E-12, 29.2203E+06 12.4647E-12, 29.2322,920
E+06 12.4647E-12, 29.2322E+06,930
 12.4645E-12, 29.2485E+06,940
 12.4640E-12, 29.2252E+06,950
 12.4640E-12, 29.2252E+06,960
 12.4639E-12, 29.2453E+06,970
 12.4639E-12, 29.2453E+06,980
 12.4639E-12, 29.2481E+06,990
 12.4640E-12, 29.2622E+06,1000
 12.4640E-12, 29.2622E+06,1010
 12.4637E-12, 29.2530E+06,1020
 12.4637E-12, 29.2530E+06,1030
 12.4635E-12, 29.2463E+06,1040
 12.4635E-12, 29.2463E+06,1050
 12.4631E-12, 29.2542E+06,1060
 12.4631E-12, 29.2542E+06,1070
 12.4632E-12, 29.2508E+06,1080
 12.4630E-12, 29.2274E+06,1090
 12.4630E-12, 29.2274E+06,1100
 12.4627E-12, 29.2039E+06,1110
 12.4627E-12, 29.2039E+06,1120
 12.4624E-12, 29.2219E+06,1130
 12.4624E-12, 29.2219E+06,1140
 12.4626E-12, 29.2058E+06,1150
 12.4623E-12, 29.1836E+06,1160
 12.4623E-12, 29.1836E+06,1170
 12.4617E-12, 29.1492E+06,1180
 12.4617E-12, 29.1492E+06,1190
 12.4617E-12, 29.1436E+06,1200
 12.4617E-12, 29.1436E+06,1210
 12.4613E-12, 29.1269E+06,1220
 12.4613E-12, 29.1230E+06,1230
 12.4613E-12, 29.1230E+06,1240
 12.4613E-12, 29.1345E+06,1250
 12.4613E-12, 29.1345E+06,1260
 12.4609E-12, 29.1295E+06,1270
 12.4609E-12, 29.1295E+06,1280
 12.4605E-12, 29.1320E+06,1290
 12.4606E-12, 29.1339E+06,1300
 12.4606E-12, 29.1339E+06,1310
 12.4601E-12, 29.1404E+06,1320
 12.4601E-12, 29.1404E+06,1330
 12.4602E-12, 29.1296E+06,1340
 12.4602E-12, 29.1186E+06,1350
 12.4602E-12, 29.1186E+06,1360
 12.4603E-12, 29.0998E+06,1370
 12.4603E-12, 29.0998E+06,1380
 12.4611E-12, 29.1053E+06,1390
 12.4611E-12, 29.1052E+06,1400
 12.4611E-12, 29.1052E+06,1410
 12.4613E-12, 29.0996E+06,1420
 12.4613E-12, 29.0996E+06,1430
 12.4613E-12, 29.0842E+06,1440
 12.4613E-12, 29.0842E+06,1450
 12.4613E-12, 29.1224E+06,1460
 12.4617E-12, 29.1288E+06,1470
 12.4617E-12, 29.1288E+06,1480
 12.4624E-12, 29.1307E+06,1490
 12.4624E-12, 29.1307E+06,1500
 12.4626E-12, 29.1645E+06,1510
 12.4636E-12, 29.2106E+06,1520
 12.4636E-12, 29.2106E+06,1530
 12.4634E-12, 29.2464E+06,1540
 12.4634E-12, 29.2464E+06,1550
 12.4634E-12, 29.2757E+06,1560
 12.4634E-12, 29.2757E+06,1570
 12.4639E-12, 29.2876E+06,1580
 12.4644E-12, 29.2954E+06,1590
 12.4644E-12, 29.2954E+06,1600
 12.4653E-12, 29.3431E+06,1610
 12.4653E-12, 29.3431E+06,1620
 12.4662E-12, 29.3291E+06,1630
 12.4662E-12, 29.3291E+06,1640
